Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Cost per item,Status
harrington,Harrington,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HARRINGTON,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harrington-B-H.jpg,1,Harrington,false,Harrington,Imported product — review before publishing.,g,,unlisted
hayes,Hayes,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HAYES,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hayes-B-H.jpg,1,Hayes,false,Hayes,Imported product — review before publishing.,g,,unlisted
healy,Healy,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HEALY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/healy-B-H.jpg,1,Healy,false,Healy,Imported product — review before publishing.,g,,unlisted
heffernan,Heffernan,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HEFFERNAN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/heffernan-B-H.jpg,1,Heffernan,false,Heffernan,Imported product — review before publishing.,g,,unlisted
hely,Hely,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HELY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hely-B-H.jpg,1,Hely,false,Hely,Imported product — review before publishing.,g,,unlisted
hennessy,Hennessy,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HENNESSY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hennessy-B-H.jpg,1,Hennessy,false,Hennessy,Imported product — review before publishing.,g,,unlisted
hickey,Hickey,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HICKEY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hickey-B-H.jpg,1,Hickey,false,Hickey,Imported product — review before publishing.,g,,unlisted
higgins,Higgins,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HIGGINS,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/higgins-B-H.jpg,1,Higgins,false,Higgins,Imported product — review before publishing.,g,,unlisted
hines,Hines,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HINES,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hines-B-H.jpg,1,Hines,false,Hines,Imported product — review before publishing.,g,,unlisted
hogan,Hogan,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-HOGAN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hogan-B-H.jpg,1,Hogan,false,Hogan,Imported product — review before publishing.,g,,unlisted
