Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
hanlon,Family name History & Crest Plaques - Hanlon,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1159,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hanlon-B-H.jpg,1,Hanlon,false,Family name History & Crest Plaques - Hanlon,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
hanlon,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Hanlon,,,,,,,,,,,,,,,,,,,,,,,active
hanlon,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harte-B-H-300x375.jpg,3,Hanlon,,,,,,,,,,,,,,,,,,,,,,,active
hanlon,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hayes-B-H-300x375.jpg,4,Hanlon,,,,,,,,,,,,,,,,,,,,,,,active
hanlon,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hyland-B-H-300x375.jpg,5,Hanlon,,,,,,,,,,,,,,,,,,,,,,,active
hannon,Family name History & Crest Plaques - Hannon,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1181,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hannon-B-H.jpg,1,Hannon,false,Family name History & Crest Plaques - Hannon,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
hannon,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Hannon,,,,,,,,,,,,,,,,,,,,,,,active
hannon,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harte-B-H-300x375.jpg,3,Hannon,,,,,,,,,,,,,,,,,,,,,,,active
hannon,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hines-B-H-300x375.jpg,4,Hannon,,,,,,,,,,,,,,,,,,,,,,,active
hannon,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harrison-B-H-300x375.jpg,5,Hannon,,,,,,,,,,,,,,,,,,,,,,,active
hara,Family name History & Crest Plaques - Hara,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1198,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hara-B-H.jpg,1,Hara,false,Family name History & Crest Plaques - Hara,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
hara,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Hara,,,,,,,,,,,,,,,,,,,,,,,active
hara,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hennessy-B-H-300x375.jpg,3,Hara,,,,,,,,,,,,,,,,,,,,,,,active
hara,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/halloran-B-H-300x375.jpg,4,Hara,,,,,,,,,,,,,,,,,,,,,,,active
hara,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hagan-B-H-300x375.jpg,5,Hara,,,,,,,,,,,,,,,,,,,,,,,active
harrington,Family name History & Crest Plaques - Harrington,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1228,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harrington-B-H.jpg,1,Harrington,false,Family name History & Crest Plaques - Harrington,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
harrington,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Harrington,,,,,,,,,,,,,,,,,,,,,,,active
